County Name,Median House Price ($),Median Rent ($),Population with Bachelor's Degree,Total Population,Number of Employed People,People with Income Below Poverty,Total Labor Force,Median Household Income ($),State FIPS,County FIPS,Year
"Sussex County, Delaware",241700,740,20799.0,200330,87659,21317.0,95263,53644,10,005,2011
"District of Columbia, District of Columbia",422400,1131,99622.0,617996,310607,109363.0,350483,63124,11,001,2011
"Sumter County, Florida",182400,657,10282.0,97756,21074,12420.0,23170,43996,12,119,2011
"Volusia County, Florida",128600,697,44859.0,494804,187986,83048.0,215522,38213,12,127,2011
"Alachua County, Florida",164100,690,29446.0,249365,113211,57504.0,126059,39636,12,001,2011
"Bay County, Florida",156000,713,16738.0,169856,76564,20933.0,85146,44310,12,005,2011
"Brevard County, Florida",134700,727,63047.0,543566,223677,75365.0,257780,46429,12,009,2011
"Broward County, Florida",168000,979,234450.0,1780172,847918,261443.0,968754,48880,12,011,2011
"Charlotte County, Florida",134200,721,15725.0,160511,57185,18753.0,65066,41190,12,015,2011
"Citrus County, Florida",109000,603,11501.0,140031,41943,23312.0,52021,33764,12,017,2011
"Clay County, Florida",154700,826,21335.0,192370,81954,21366.0,92703,54389,12,019,2011
"Collier County, Florida",242700,798,48014.0,328134,135149,55123.0,149560,50564,12,021,2011
"Columbia County, Florida",103800,581,3141.0,67485,22982,13898.0,29954,35008,12,023,2011
"Duval County, Florida",146000,715,100266.0,870709,395463,151739.0,453609,45958,12,031,2011
"Escambia County, Florida",121400,683,29541.0,299114,128723,50754.0,145322,40917,12,033,2011
"Flagler County, Florida",160000,856,9018.0,97376,36060,18498.0,42088,46232,12,035,2011
"Hernando County, Florida",111800,675,13778.0,173094,54854,28183.0,67586,41150,12,053,2011
"Highlands County, Florida",85400,558,7831.0,98630,29960,16920.0,36326,33652,12,055,2011
"Hillsborough County, Florida",151200,766,149792.0,1267775,575039,220647.0,647204,46761,12,057,2011
"Indian River County, Florida",151600,635,17225.0,138894,51853,18530.0,60207,39767,12,061,2011
"Lake County, Florida",138900,772,28218.0,301019,119110,39591.0,136714,45454,12,069,2011
"Lee County, Florida",128300,751,70910.0,631330,240622,95451.0,280598,45266,12,071,2011
"Leon County, Florida",184900,730,42044.0,277971,137195,62861.0,155602,44731,12,073,2011
"Manatee County, Florida",155400,750,37419.0,327142,128511,51756.0,146613,43234,12,081,2011
"Marion County, Florida",112400,602,23025.0,332529,115012,55367.0,136004,36255,12,083,2011
"Martin County, Florida",205000,784,20918.0,147495,59472,17071.0,67229,50022,12,085,2011
"Miami-Dade County, Florida",174700,922,283879.0,2554766,1134201,526616.0,1297647,40552,12,086,2011
"Monroe County, Florida",409500,1083,9283.0,73873,37118,9811.0,41059,51524,12,087,2011
"Nassau County, Florida",163400,914,8883.0,74195,29674,7635.0,34743,52466,12,089,2011
"Okaloosa County, Florida",185000,750,22500.0,183482,82196,26439.0,90475,49158,12,091,2011
"Orange County, Florida",155500,805,144541.0,1169107,560038,212547.0,634423,44732,12,095,2011
"Osceola County, Florida",118500,805,21487.0,276163,122750,40902.0,141159,41040,12,097,2011
"Palm Beach County, Florida",183700,952,196323.0,1335187,570219,208451.0,651889,48953,12,099,2011
"Pasco County, Florida",115400,707,43350.0,466457,172803,72055.0,198919,40766,12,101,2011
"Pinellas County, Florida",143600,757,119211.0,917398,401884,133141.0,455603,42852,12,103,2011
"Polk County, Florida",109700,644,50900.0,609492,229560,115378.0,264538,40272,12,105,2011
"Putnam County, Florida",92300,511,3292.0,74041,22642,20818.0,26524,30440,12,107,2011
"St. Johns County, Florida",235900,885,37479.0,195823,92709,17157.0,98901,62510,12,109,2011
"St. Lucie County, Florida",110100,742,24750.0,280379,106757,60256.0,129219,40898,12,111,2011
"Santa Rosa County, Florida",159100,821,18469.0,154104,63907,15551.0,70399,53103,12,113,2011
"Sarasota County, Florida",163800,819,52687.0,382213,150245,41749.0,169302,47189,12,115,2011
"Seminole County, Florida",173400,863,63805.0,425071,203575,47466.0,227128,54611,12,117,2011
"Barrow County, Georgia",121400,661,4938.0,69912,31366,12794.0,36994,50490,13,013,2011
"Bartow County, Georgia",129200,566,6693.0,100421,40769,21255.0,47202,44034,13,015,2011
"Bibb County, Georgia",131400,513,13370.0,156433,60754,36437.0,69862,33878,13,021,2011
"Bulloch County, Georgia",138400,563,5994.0,72881,31622,22095.0,33804,32251,13,031,2011
"Carroll County, Georgia",115800,545,9327.0,111159,45087,20285.0,51403,42858,13,045,2011
"Chatham County, Georgia",165600,736,36081.0,271544,115904,57456.0,128712,42730,13,051,2011
"Cherokee County, Georgia",175200,742,35432.0,218286,107683,20509.0,115482,62515,13,057,2011
"Clarke County, Georgia",157100,577,11027.0,117344,49215,42780.0,53731,28843,13,059,2011
"Clayton County, Georgia",88800,646,16905.0,261532,109426,65239.0,133785,37050,13,063,2011
"Cobb County, Georgia",193300,746,127320.0,697553,347854,86631.0,391269,57906,13,067,2011
"Columbia County, Georgia",162800,838,17284.0,128112,60399,8718.0,64302,61718,13,073,2011
"Coweta County, Georgia",182800,667,13720.0,129629,58620,22601.0,63999,54792,13,077,2011
"DeKalb County, Georgia",163700,770,113665.0,699893,324092,130909.0,380373,48297,13,089,2011
"Dougherty County, Georgia",101400,473,4838.0,94788,34360,26997.0,41820,28424,13,095,2011
"Douglas County, Georgia",127600,743,15305.0,133355,59679,22740.0,70717,49282,13,097,2011
"Fayette County, Georgia",221100,845,20121.0,107784,46777,11903.0,52669,72962,13,113,2011
"Floyd County, Georgia",107500,477,5842.0,95989,37924,17965.0,44868,40963,13,115,2011
"Forsyth County, Georgia",252400,908,27481.0,181840,74299,17394.0,86341,82209,13,117,2011
"Fulton County, Georgia",230500,759,195281.0,949599,447909,175630.0,508780,53697,13,121,2011
"Glynn County, Georgia",162400,603,7682.0,80386,34866,14833.0,40278,45726,13,127,2011
"Gwinnett County, Georgia",166400,809,119948.0,824941,380532,128797.0,429453,56523,13,135,2011
"Hall County, Georgia",161600,639,16054.0,183052,79012,31358.0,88537,50108,13,139,2011
"Henry County, Georgia",146000,812,23809.0,207360,91051,34987.0,104092,57258,13,151,2011
"Houston County, Georgia",125500,583,13140.0,143925,64187,19857.0,71933,51021,13,153,2011
"Liberty County, Georgia",139900,728,5096.0,65451,24613,10228.0,27356,45485,13,179,2011
"Lowndes County, Georgia",135000,556,7747.0,111885,42684,29127.0,51714,32898,13,185,2011
