County Name,Median House Price ($),Median Rent ($),Population with Bachelor's Degree,Total Population,Number of Employed People,People with Income Below Poverty,Total Labor Force,Median Household Income ($),Owner Occupied Housing Units,Total Households,State FIPS,County FIPS,Year
"Monroe County, Indiana",158800,663,14505.0,139799,66726,32084.0,72540,38149,24368,53620,18,105,2011
"Morgan County, Indiana",141800,597,5009.0,69464,30478,6313.0,34385,52051,6346,24900,18,109,2011
"Porter County, Indiana",161900,712,18623.0,165537,77960,18291.0,85682,61432,14911,61046,18,127,2011
"St. Joseph County, Indiana",112500,592,26494.0,266700,120561,50115.0,135485,43766,32570,102401,18,141,2011
"Tippecanoe County, Indiana",133700,645,19702.0,174724,83599,36143.0,89586,42404,31977,66480,18,157,2011
"Vanderburgh County, Indiana",110600,541,16433.0,180305,85290,25878.0,92282,43630,26841,74063,18,163,2011
"Vigo County, Indiana",92900,525,9485.0,108182,48402,18147.0,52896,39229,13075,37764,18,167,2011
"Wayne County, Indiana",89100,443,4901.0,68643,29153,14634.0,33440,36358,8611,28274,18,177,2011
"Black Hawk County, Iowa",126200,536,15558.0,131549,66599,20856.0,72106,42438,16718,51917,19,013,2011
"Dallas County, Iowa",178900,785,14097.0,69444,35984,5043.0,37791,69831,5914,26131,19,049,2011
"Dubuque County, Iowa",146800,534,10349.0,94648,50044,8310.0,53466,53011,9697,37646,19,061,2011
"Johnson County, Iowa",180500,699,20928.0,133038,75518,24714.0,79133,52732,21296,53910,19,103,2011
"Linn County, Iowa",144800,532,30990.0,213875,112552,22158.0,119527,55449,22378,86507,19,113,2011
"Polk County, Iowa",150400,653,73523.0,437399,224187,54003.0,241953,55826,51750,168589,19,153,2011
"Pottawattamie County, Iowa",125100,583,8762.0,93518,45945,13939.0,49017,48850,10631,36091,19,155,2011
"Scott County, Iowa",146600,552,22947.0,167095,80052,22106.0,85402,49549,21788,66355,19,163,2011
"Story County, Iowa",160500,582,13322.0,89663,47594,19574.0,50948,45866,15640,34794,19,169,2011
