County Name,Median House Price ($),Median Rent ($),Population with Bachelor's Degree,Total Population,Number of Employed People,People with Income Below Poverty,Total Labor Force,Median Household Income ($),Owner Occupied Housing Units,Total Households,State FIPS,County FIPS,Year
"Jefferson County, Texas",94600,597,20867.0,252235,103472,50433.0,112170,40652,37124,94400,48,245,2014
"Tarrant County, Texas",145200,756,245538.0,1945360,939041,295514.0,1000974,58099,274103,681915,48,439,2014
"Ellis County, Texas",145900,738,13764.0,159317,75266,16720.0,78711,60294,16229,53454,48,139,2014
"San Patricio County, Texas",103600,636,3162.0,66915,31435,8540.0,31949,53877,8051,23156,48,409,2014
"Randall County, Texas",152700,694,17167.0,128220,69035,11875.0,70843,65749,14656,49310,48,381,2014
"Rockwall County, Texas",193500,1080,13922.0,87809,43019,7311.0,45258,80407,6635,29401,48,397,2014
"Taylor County, Texas",110400,624,14199.0,135143,62875,20433.0,66489,45907,20678,48997,48,441,2014
"Walker County, Texas",145400,641,5812.0,69789,23338,14398.0,23880,38483,8692,20097,48,471,2014
"Coryell County, Texas",106900,700,4874.0,75562,20952,8465.0,23781,47042,9807,22380,48,099,2014
"Potter County, Texas",85300,593,6690.0,121627,52302,24233.0,55231,38324,18581,42467,48,375,2014
"Midland County, Texas",168100,1087,17710.0,155830,81649,11837.0,84847,77711,18243,53655,48,329,2014
"Brazos County, Texas",161200,708,20568.0,209152,101650,54289.0,107666,40973,44522,77806,48,041,2014
"Bexar County, Texas",133500,741,196855.0,1855866,851477,335190.0,911736,50760,263636,625260,48,029,2014
"Denton County, Texas",205000,860,137504.0,753363,402025,66445.0,422896,74196,97560,265729,48,121,2014
"Galveston County, Texas",151200,757,37273.0,314198,146643,44680.0,155419,57991,42421,117452,48,167,2014
"Bowie County, Texas",117100,569,7308.0,93275,36605,17527.0,39372,40493,12113,32915,48,037,2014
"Travis County, Texas",245600,919,217714.0,1151145,616070,193753.0,644694,61787,214173,437375,48,453,2014
"Henderson County, Texas",86600,578,7525.0,79290,30032,15947.0,32132,41112,7303,30422,48,213,2014
"Fort Bend County, Texas",210400,1005,120801.0,685345,325168,61012.0,342034,87973,44654,214215,48,157,2014
"Nueces County, Texas",112500,734,30655.0,356221,164997,56045.0,177310,51817,53801,129264,48,355,2014
"Liberty County, Texas",80900,522,3851.0,78117,28278,11890.0,29698,44188,6761,24886,48,291,2014
"Comal County, Texas",230100,816,17625.0,123694,55215,10564.0,57141,62389,10966,44382,48,091,2014
"Bastrop County, Texas",126300,680,7435.0,78069,32373,10474.0,35133,53631,4787,25974,48,021,2014
"Washington County, Utah",221800,773,15585.0,151948,59386,17996.0,62856,49981,15481,49468,49,053,2014
"Weber County, Utah",171400,685,24291.0,240475,113395,29078.0,121583,59604,22660,80956,49,057,2014
"Salt Lake County, Utah",241500,825,137481.0,1091742,549451,126008.0,576198,62672,122998,358269,49,035,2014
"Cache County, Utah",192900,554,13190.0,118343,53330,16872.0,55834,51556,12928,35895,49,005,2014
"Utah County, Utah",238800,767,71353.0,560974,248196,68903.0,260638,60944,49752,151010,49,049,2014
"Davis County, Utah",230600,837,46744.0,329692,149418,22408.0,156803,70440,22799,99117,49,011,2014
"Chittenden County, Vermont",269300,1071,27956.0,160531,89110,18005.0,93642,62004,22804,63887,50,007,2014
"James City County, Virginia",325600,945,12373.0,72583,32663,6258.0,34349,72622,9330,29312,51,095,2014
"Henrico County, Virginia",218000,882,56364.0,321924,168114,36545.0,180037,62460,47442,124447,51,087,2014
"Spotsylvania County, Virginia",249500,1086,15868.0,129188,63199,13741.0,67490,75686,11341,43049,51,177,2014
"Montgomery County, Virginia",206800,748,12554.0,97244,44619,24657.0,47946,42052,16609,34549,51,121,2014
"Loudoun County, Virginia",474600,1489,78398.0,363050,190750,14484.0,198858,122294,28503,117946,51,107,2014
"Prince William County, Virginia",341000,1373,64770.0,446094,227442,32571.0,239375,92104,37728,137434,51,153,2014
"Fauquier County, Virginia",367100,993,8788.0,68248,34879,5183.0,36488,91987,5247,23334,51,061,2014
"Hanover County, Virginia",257600,915,14892.0,101918,54077,5963.0,56339,83756,7621,37481,51,085,2014
"Chesapeake city, Virginia",253000,905,27492.0,233371,105623,21479.0,113783,66712,25086,83904,51,550,2014
"Albemarle County, Virginia",343900,976,17648.0,104489,47558,9189.0,50058,64722,15617,39568,51,003,2014
"Bedford County, Virginia",202400,638,10990.0,76583,35837,6087.0,38013,56996,5309,30259,51,019,2014
"Portsmouth city, Virginia",171400,788,7632.0,96004,41421,15597.0,46484,44905,18693,37123,51,740,2014
"Virginia Beach city, Virginia",261800,1033,68836.0,450980,217407,36183.0,229659,68816,60790,167008,51,810,2014
"Newport News city, Virginia",184900,794,15512.0,182965,83434,27988.0,91129,49602,35718,68768,51,700,2014
"Frederick County, Virginia",229000,843,10048.0,82377,42308,4928.0,44145,66167,6967,29505,51,069,2014
"Lynchburg city, Virginia",144600,647,8961.0,79047,35654,18351.0,37861,40594,13880,27870,51,680,2014
"York County, Virginia",306000,1311,8203.0,66342,29042,3274.0,31156,81636,7202,23533,51,199,2014
"Roanoke city, Virginia",136500,617,10322.0,99428,47357,19658.0,51493,41697,21211,42636,51,770,2014
"Suffolk city, Virginia",237200,771,9175.0,86806,40268,12221.0,43987,62079,9888,30689,51,800,2014
"Norfolk city, Virginia",190000,785,20931.0,245428,103553,49465.0,113715,43186,50401,87760,51,710,2014
"Chesterfield County, Virginia",216900,994,52343.0,332499,170946,27440.0,180583,72878,30106,119732,51,041,2014
"Fairfax County, Virginia",519300,1638,232289.0,1137538,606363,74210.0,639431,110674,127949,391479,51,059,2014
"Rockingham County, Virginia",207800,575,7763.0,78171,39289,9770.0,41578,56112,8389,30333,51,165,2014
"Augusta County, Virginia",206200,686,7895.0,73862,36405,6747.0,37825,58322,5920,28533,51,015,2014
"Roanoke County, Virginia",190100,744,16235.0,93785,45698,8212.0,47878,62091,11204,38879,51,161,2014
"Alexandria city, Virginia",520300,1428,34164.0,150575,94479,14554.0,98254,86809,40209,68796,51,510,2014
"Hampton city, Virginia",188900,847,13963.0,136879,61925,19397.0,68608,47312,25233,53420,51,650,2014
"Arlington County, Virginia",604600,1818,59343.0,226908,141658,21153.0,146389,109266,56166,100732,51,013,2014
"Stafford County, Virginia",315000,1259,20206.0,139992,67289,7408.0,70828,93422,11122,44246,51,179,2014
"Richmond city, Virginia",201200,752,31801.0,217853,109348,51822.0,121611,43054,51991,88421,51,760,2014
"Skagit County, Washington",258500,826,14866.0,120365,51476,19745.0,55247,50558,15331,45447,53,057,2014
"Spokane County, Washington",182700,698,57326.0,484318,213771,76917.0,227611,50249,71109,187603,53,063,2014
"Chelan County, Washington",236500,735,8063.0,74588,32419,9653.0,35691,50177,8684,27087,53,007,2014
"Kitsap County, Washington",255200,884,34542.0,254183,108617,27187.0,115813,61794,33038,95249,53,035,2014
"King County, Washington",402700,1111,436553.0,2079967,1107194,230043.0,1167082,75834,354550,825188,53,033,2014
"Yakima County, Washington",156700,631,14040.0,247687,102976,49475.0,110527,44648,28131,79700,53,077,2014
"Clallam County, Washington",215600,751,7102.0,72715,29508,11892.0,31877,46469,8829,31361,53,009,2014
"Cowlitz County, Washington",165400,636,6245.0,102133,38474,22463.0,44050,42223,14695,40036,53,015,2014
"Lewis County, Washington",173200,648,4535.0,75128,29474,12364.0,33229,43575,9816,29969,53,041,2014
"Island County, Washington",296900,925,11858.0,79275,32603,8026.0,35515,59934,11503,32464,53,029,2014
"Pierce County, Washington",237100,899,89781.0,831928,372670,105224.0,403162,60496,121111,302388,53,053,2014
"Franklin County, Washington",177000,757,5400.0,87809,37769,15254.0,39416,57890,8292,25542,53,021,2014
"Whatcom County, Washington",273500,836,29111.0,208351,99061,32573.0,108699,53665,30760,81973,53,073,2014
"Benton County, Washington",189500,739,21757.0,186486,84261,28894.0,89435,58093,23102,67815,53,005,2014
"Clark County, Washington",239800,861,53475.0,451008,209387,41716.0,225715,61741,60913,165133,53,011,2014
"Grays Harbor County, Washington",169700,626,4817.0,70818,25898,12860.0,29482,43356,9637,27401,53,027,2014
"Grant County, Washington",160400,640,5931.0,93147,40176,12719.0,43173,51949,12100,29758,53,025,2014
"Snohomish County, Washington",304200,1028,103975.0,759583,379269,73085.0,403653,71984,96674,278683,53,061,2014
"Thurston County, Washington",244100,936,39521.0,265851,123121,31376.0,133470,61609,41011,103319,53,067,2014
"Wood County, West Virginia",105600,460,7418.0,86237,37334,14799.0,39836,42014,11082,36214,54,107,2014
"Cabell County, West Virginia",113000,500,8688.0,97109,39770,21202.0,42234,34046,17012,41147,54,011,2014
"Harrison County, West Virginia",98600,497,6496.0,68761,30107,8292.0,32558,41333,7758,27787,54,033,2014
"Raleigh County, West Virginia",99600,545,7027.0,78241,29070,11725.0,30782,40561,7482,30469,54,081,2014
"Berkeley County, West Virginia",161900,677,11593.0,110497,51903,14906.0,56843,58754,9281,41198,54,003,2014
"Monongalia County, West Virginia",154000,664,13379.0,103463,47070,24759.0,50760,41955,15995,37575,54,061,2014
"Kanawha County, West Virginia",103600,532,18206.0,190223,81694,31651.0,87572,44186,25109,80762,54,039,2014
"St. Croix County, Wisconsin",208400,775,13472.0,86759,47775,2689.0,49507,76024,7878,32583,55,109,2014
"Milwaukee County, Wisconsin",147200,685,119177.0,956406,447517,204226.0,489047,42765,195235,382382,55,079,2014
"Racine County, Wisconsin",164400,643,21857.0,195163,92157,24221.0,98331,54525,23867,75876,55,101,2014
"Winnebago County, Wisconsin",142300,577,20599.0,169511,89519,20079.0,93054,52387,24974,69417,55,139,2014
"Outagamie County, Wisconsin",156900,605,25189.0,182006,96351,19260.0,99717,58118,22909,71492,55,087,2014
"Brown County, Wisconsin",157100,615,34186.0,256670,130997,30813.0,137912,53392,35890,101533,55,009,2014
"Eau Claire County, Wisconsin",151200,629,12367.0,101564,55531,14084.0,57739,47043,17344,40277,55,035,2014
"Waukesha County, Wisconsin",251700,820,76017.0,395118,212085,22581.0,219365,76053,36503,154970,55,133,2014
"Walworth County, Wisconsin",193300,648,12113.0,103527,54266,14755.0,57466,52277,14224,39679,55,127,2014
"Washington County, Wisconsin",205100,741,19452.0,133251,73237,6691.0,76088,68424,11853,53983,55,131,2014
"Dane County, Wisconsin",233000,822,102408.0,516284,289375,69507.0,304983,61582,90932,211842,55,025,2014
"Ozaukee County, Wisconsin",243700,697,18522.0,87470,46790,3740.0,48689,72103,9556,34913,55,089,2014
"Portage County, Wisconsin",156800,527,8627.0,70482,37123,11258.0,39304,51399,9037,27360,55,097,2014
"Rock County, Wisconsin",135100,629,14823.0,161188,79395,24606.0,84768,50610,20627,63037,55,105,2014
"Wood County, Wisconsin",124600,524,7092.0,73608,37214,7825.0,39040,50831,8363,32383,55,141,2014
"Jefferson County, Wisconsin",180400,671,9660.0,84395,43635,9570.0,46389,55675,9432,31607,55,055,2014
"Sheboygan County, Wisconsin",143700,558,12610.0,115290,60977,9049.0,63686,54042,13579,46504,55,117,2014
"La Crosse County, Wisconsin",157000,650,14630.0,118011,62711,14069.0,66104,48872,16400,46846,55,063,2014
"Marathon County, Wisconsin",145600,571,16954.0,135780,71550,12578.0,74937,53300,13344,54739,55,073,2014
"Dodge County, Wisconsin",152200,643,6631.0,88574,43623,7814.0,45865,53139,9385,33273,55,027,2014
"Manitowoc County, Wisconsin",124400,474,7851.0,80160,40466,8834.0,42172,45136,8268,33272,55,071,2014
"Fond du Lac County, Wisconsin",141600,585,10349.0,101759,52730,9538.0,55455,51717,12188,41938,55,039,2014
"Kenosha County, Wisconsin",155600,741,20684.0,168068,79342,27158.0,86187,52787,20215,61593,55,059,2014
"Natrona County, Wyoming",206600,735,7228.0,81624,43966,7462.0,45293,56392,12351,33323,56,025,2014
"Laramie County, Wyoming",201200,693,13451.0,96389,47850,10221.0,49960,57551,12401,38705,56,021,2014
"Arecibo Municipio, Puerto Rico",105300,334,11121.0,91540,24603,46528.0,30163,16325,9734,31550,72,013,2014
"Guaynabo Municipio, Puerto Rico",172400,470,19061.0,92799,37760,26241.0,42224,32064,8256,34080,72,061,2014
"Bayamón Municipio, Puerto Rico",140100,449,28446.0,194210,69270,65737.0,80932,25271,22901,71307,72,021,2014
"Carolina Municipio, Puerto Rico",152300,532,23658.0,165820,63566,45063.0,73416,28792,21726,66008,72,031,2014
"Mayagüez Municipio, Puerto Rico",104500,305,8486.0,81915,20828,40514.0,28823,14108,11619,29553,72,097,2014
"Trujillo Alto Municipio, Puerto Rico",156700,429,9706.0,71019,27764,24923.0,30671,25972,9135,24427,72,139,2014
"Ponce Municipio, Puerto Rico",105800,301,19443.0,153540,38976,76043.0,47136,15935,21467,56032,72,113,2014
"Toa Alta Municipio, Puerto Rico",145500,466,10593.0,74837,26279,21413.0,28829,29341,3540,22511,72,135,2014
"Toa Baja Municipio, Puerto Rico",134200,501,8685.0,84165,30911,31518.0,38536,22166,7434,27396,72,137,2014
"Caguas Municipio, Puerto Rico",140600,405,19995.0,137032,49571,50226.0,57131,24145,17144,49862,72,025,2014
"San Juan Municipio, Puerto Rico",162200,397,53159.0,365575,131229,158007.0,154818,20234,69833,148344,72,127,2014
"Etowah County, Alabama",99200,469,7787.0,103057,43713,18413.0,45797,43346,10031,39332,01,055,2015
"DeKalb County, Alabama",101000,372,2371.0,71130,28220,14422.0,29884,36559,8414,26247,01,049,2015
"Mobile County, Alabama",120500,612,45416.0,415395,174686,71773.0,187130,42699,52910,152938,01,097,2015
"Walker County, Alabama",90500,404,2669.0,65294,22694,13301.0,25674,35056,6268,24452,01,127,2015
"Calhoun County, Alabama",111400,496,7585.0,115620,47309,22464.0,52598,42346,13570,44323,01,015,2015
"Marshall County, Alabama",122800,444,6496.0,94725,39334,19577.0,41099,40525,9085,33972,01,095,2015
"Madison County, Alabama",177700,624,62494.0,353089,163650,46225.0,176390,58636,47278,140959,01,089,2015
"St. Clair County, Alabama",153000,534,4775.0,87074,37154,9236.0,39031,54484,5262,31856,01,115,2015
"Baldwin County, Alabama",177800,728,30163.0,203709,87864,25658.0,92574,52003,19037,72269,01,003,2015
"Houston County, Alabama",131000,520,9046.0,104173,43651,18684.0,47364,43553,14010,38870,01,069,2015
"Tuscaloosa County, Alabama",164700,588,25056.0,203976,86538,39132.0,91681,49067,26673,71195,01,125,2015
"Montgomery County, Alabama",122100,643,29246.0,226519,99715,49406.0,108644,42477,38782,90103,01,101,2015
"Lee County, Alabama",169000,621,18834.0,156993,73205,33230.0,77414,46589,24402,58191,01,081,2015
"Jefferson County, Alabama",155000,614,87278.0,660367,305944,114442.0,331678,48492,101153,264781,01,073,2015
"Lauderdale County, Alabama",125300,485,8559.0,92596,37628,15594.0,40035,42577,12111,38762,01,077,2015
"Limestone County, Alabama",152600,445,9714.0,91663,38868,13526.0,42763,55009,6377,31590,01,083,2015
"Shelby County, Alabama",197300,746,39713.0,208713,102381,17576.0,106599,70192,16013,76798,01,117,2015
"Cullman County, Alabama",128600,451,4355.0,82005,30898,17878.0,32350,37862,7744,30798,01,043,2015
"Elmore County, Alabama",159800,589,7527.0,81468,33209,10668.0,34817,52502,8250,29615,01,051,2015
"Talladega County, Alabama",99100,356,5190.0,80862,29144,17848.0,33563,34451,10201,31379,01,121,2015
"Morgan County, Alabama",132000,452,12763.0,119565,50762,19741.0,54329,47229,13360,46990,01,103,2015
"Fairbanks North Star Borough, Alaska",229300,1112,13486.0,99631,48100,7066.0,52208,72975,15188,35475,02,090,2015
"Matanuska-Susitna Borough, Alaska",236100,925,8235.0,101095,43000,9791.0,47242,76427,7377,30665,02,170,2015
"Anchorage Municipality, Alaska",302500,1156,41798.0,298695,150525,24405.0,160783,78662,40535,104936,02,020,2015
"Maricopa County, Arizona",228300,840,539022.0,4167947,1934880,670131.0,2049623,56004,603425,1480327,04,013,2015
"Mohave County, Arizona",139400,611,11810.0,204737,71494,32552.0,77880,40908,27514,83801,04,015,2015
"Coconino County, Arizona",228600,972,13804.0,139097,65735,25342.0,71684,53152,17861,45911,04,005,2015
"Yavapai County, Arizona",216300,733,27509.0,222255,84647,33071.0,90020,48105,28100,94920,04,025,2015
"Pinal County, Arizona",156500,765,31291.0,406584,135816,59773.0,150175,50770,32253,128395,04,021,2015
"Pima County, Arizona",165900,689,120656.0,1010025,429496,185511.0,468446,47099,155425,395992,04,019,2015
"Cochise County, Arizona",146900,606,11196.0,126427,39648,19290.0,42855,43291,16244,50202,04,003,2015
"Apache County, Arizona",58400,365,3932.0,71474,17284,27562.0,20192,29417,4929,19855,04,001,2015
"Yuma County, Arizona",119400,616,12728.0,204275,72053,40762.0,82366,40539,24888,71751,04,027,2015
"Navajo County, Arizona",120900,521,6105.0,108277,32075,29869.0,37957,37833,10358,33772,04,017,2015
"Saline County, Arkansas",147200,595,12291.0,117460,56190,13259.0,58207,55051,10674,43877,05,125,2015
"Faulkner County, Arkansas",160700,607,14153.0,121552,55773,18048.0,59172,50596,16206,44011,05,045,2015
"Jefferson County, Arkansas",80200,502,4536.0,71565,27484,17770.0,30942,35381,10114,26512,05,069,2015
"Sebastian County, Arkansas",117100,468,11781.0,127780,53220,30686.0,55716,40448,20329,50203,05,131,2015
"Benton County, Arkansas",166200,652,34928.0,249672,118078,27049.0,121663,58770,30702,91670,05,007,2015
"Washington County, Arkansas",159600,562,27621.0,225477,106239,38068.0,112067,46160,39112,82905,05,143,2015
"Craighead County, Arkansas",132900,575,10623.0,104354,48402,16972.0,51644,40085,16334,39826,05,031,2015
"Lonoke County, Arkansas",142100,552,7222.0,71645,31212,8314.0,32098,56893,7912,26422,05,085,2015
"White County, Arkansas",104900,490,5402.0,79161,31953,16112.0,34843,38986,10445,28895,05,145,2015
"Garland County, Arkansas",134500,560,8118.0,97177,41167,19189.0,43864,37013,13736,40134,05,051,2015
"Pulaski County, Arkansas",153200,660,56591.0,392664,180595,77272.0,190596,46070,66869,157401,05,119,2015
"Merced County, California",210100,743,14641.0,268455,98425,70118.0,111823,41997,38622,79098,06,047,2015
"Yuba County, California",206800,767,4606.0,74492,28456,16982.0,31300,50451,9590,25361,06,115,2015
"Contra Costa County, California",522500,1427,194193.0,1126745,536149,114576.0,572795,83104,140653,391996,06,013,2015
"Stanislaus County, California",243500,863,36954.0,538388,215825,104801.0,243383,52363,74883,171960,06,099,2015
"Sonoma County, California",512100,1270,73795.0,502146,250066,54728.0,265424,66674,77230,190662,06,097,2015
"Sacramento County, California",301200,943,200616.0,1501335,671358,249973.0,731857,58942,242898,530497,06,067,2015
"El Dorado County, California",413100,971,27607.0,184452,79944,15903.0,87578,79019,14577,67544,06,017,2015
"Monterey County, California",429100,1201,40275.0,433898,182151,63637.0,193152,60494,64647,126904,06,053,2015
"San Diego County, California",485900,1348,501923.0,3299521,1552867,444260.0,1668702,67320,534145,1113610,06,073,2015
"Tulare County, California",174300,718,27041.0,459863,170090,125728.0,187613,42413,60907,134801,06,107,2015
"Yolo County, California",366100,1062,27563.0,213016,97488,37538.0,105812,58966,34753,73754,06,113,2015
"Humboldt County, California",278400,805,15653.0,135727,59202,27796.0,63773,40484,23744,53553,06,023,2015
"Nevada County, California",383400,994,16494.0,98877,41169,13108.0,44858,54177,11674,41381,06,057,2015
"Madera County, California",232800,800,10734.0,154998,58279,34227.0,62224,47150,17277,45224,06,039,2015
"Mendocino County, California",344500,873,11172.0,87649,36181,18207.0,41179,41896,14848,35264,06,045,2015
"Santa Cruz County, California",668300,1386,40200.0,274146,132081,42464.0,139201,65139,41612,93317,06,087,2015
"Los Angeles County, California",497200,1181,1382575.0,10170292,4831360,1668129.0,5204739,59134,1806687,3293095,06,037,2015
"Riverside County, California",312700,1058,199704.0,2361026,981103,376181.0,1084910,58292,257516,714728,06,065,2015
"San Bernardino County, California",281300,992,165281.0,2128133,877027,392509.0,969547,53803,268878,628798,06,071,2015
"Santa Clara County, California",836800,1834,346350.0,1918044,967374,154085.0,1021727,102340,277974,633786,06,085,2015
"Marin County, California",906500,1717,65441.0,261221,130101,18027.0,134812,100662,38595,105887,06,041,2015
"Placer County, California",407400,1157,65707.0,375391,166681,33654.0,177254,75708,42911,137500,06,061,2015
"Shasta County, California",238900,762,18123.0,179533,72329,34724.0,76691,46693,26853,69799,06,089,2015
"Solano County, California",344900,1201,54767.0,436092,193706,51376.0,212150,67443,57785,145502,06,095,2015
"Butte County, California",246700,831,29188.0,225411,92602,47796.0,103487,45644,36215,85289,06,007,2015
"San Luis Obispo County, California",508200,1169,39804.0,281401,128903,39741.0,135589,62648,43018,104760,06,079,2015
"Kern County, California",197100,766,57137.0,882176,344626,186501.0,387341,51342,114282,263273,06,029,2015
"Ventura County, California",528700,1465,117648.0,850536,405614,80854.0,434756,80032,98964,269566,06,111,2015
"San Mateo County, California",917600,1855,149916.0,765135,400912,64250.0,422007,101272,106424,263280,06,081,2015
"Lake County, California",167600,639,4356.0,64591,24554,12396.0,27103,37294,9489,26335,06,033,2015
"Santa Barbara County, California",547600,1340,54906.0,444769,214133,67085.0,228357,63625,70308,144261,06,083,2015
"Imperial County, California",169000,636,10173.0,180191,59958,42638.0,71843,40852,19730,45158,06,025,2015
"Alameda County, California",656700,1435,299391.0,1638215,836462,183184.0,883279,81717,271623,571828,06,001,2015
"Napa County, California",555900,1388,21600.0,142456,70701,14989.0,73921,75513,18954,49619,06,055,2015
"San Francisco County, California",941400,1609,227064.0,864816,506320,105206.0,533555,92094,229112,356916,06,075,2015
"Kings County, California",183000,776,10273.0,150965,52823,31453.0,57925,45746,22118,42692,06,031,2015
"Fresno County, California",220100,760,75789.0,974861,397209,242083.0,441021,46949,145790,304209,06,019,2015
"Orange County, California",625300,1531,538334.0,3169776,1559173,396172.0,1650785,78428,443592,1022542,06,059,2015
"Sutter County, California",230200,760,6487.0,96463,36740,17752.0,42000,52277,14504,32901,06,101,2015
"San Joaquin County, California",278400,880,57597.0,726106,292491,123817.0,329130,53705,100418,223062,06,077,2015
"Pueblo County, Colorado",148000,605,15842.0,163591,65558,31919.0,72603,40050,22639,61876,08,101,2015
"Mesa County, Colorado",198800,774,20676.0,148513,69184,20964.0,74731,51465,19494,59066,08,077,2015
"El Paso County, Colorado",232900,881,97132.0,674471,308529,70982.0,329111,60109,98188,252169,08,041,2015
"Arapahoe County, Colorado",290800,1056,111725.0,631096,332194,56848.0,350309,67002,87859,233937,08,005,2015
"Denver County, Colorado",316700,1006,138565.0,682545,372635,104385.0,390135,58003,145315,287074,08,031,2015
"Jefferson County, Colorado",330200,1089,109630.0,565524,307206,43431.0,321181,71136,69546,226920,08,059,2015
"Weld County, Colorado",242700,840,31679.0,285174,139270,31486.0,145798,70256,29026,97822,08,123,2015
"Douglas County, Colorado",398800,1427,76105.0,322387,172340,11151.0,178000,107650,26477,118613,08,035,2015
"Boulder County, Colorado",416500,1198,69676.0,319372,172041,39789.0,181474,72009,49815,124615,08,013,2015
"Adams County, Colorado",240300,1044,49063.0,491337,246554,63493.0,260363,63493,56229,159313,08,001,2015
"Larimer County, Colorado",298100,991,60222.0,333577,174576,41192.0,184140,64919,45872,129210,08,069,2015
"New Haven County, Connecticut",244400,898,113143.0,859470,427933,114161.0,459736,61760,124604,323270,09,009,2015
"Litchfield County, Connecticut",248300,806,25433.0,183603,96620,12979.0,102493,70667,17138,73360,09,005,2015
"Hartford County, Connecticut",238500,871,131824.0,895841,447101,97187.0,480568,69622,124261,343884,09,003,2015
"New London County, Connecticut",240900,883,35537.0,271863,131346,29735.0,142863,65764,36770,105376,09,011,2015
"Tolland County, Connecticut",246900,879,23730.0,151420,83087,8405.0,87426,82168,15232,55354,09,013,2015
"Fairfield County, Connecticut",420900,1213,167323.0,948053,472541,83014.0,511931,86414,108604,333528,09,001,2015
"Windham County, Connecticut",198000,737,12217.0,116573,60849,11161.0,63793,62905,11762,43556,09,015,2015
"Middlesex County, Connecticut",282700,954,26726.0,164063,87621,10267.0,92782,83530,16297,65375,09,007,2015
"New Castle County, Delaware",250800,919,78846.0,556779,278333,66070.0,295280,66256,64138,202813,10,003,2015
"Sussex County, Delaware",234400,767,23794.0,215622,91896,23757.0,98159,55065,18628,87305,10,005,2015
"Kent County, Delaware",215200,797,14941.0,173533,77287,24533.0,81770,56778,20148,62477,10,001,2015
"District of Columbia, District of Columbia",551300,1326,112629.0,672228,361179,110500.0,389414,75628,169232,281787,11,001,2015
"Escambia County, Florida",124400,695,33796.0,311003,136849,38320.0,146491,46001,45435,116814,12,033,2015
"Hernando County, Florida",121200,741,14998.0,178439,63558,23923.0,69704,43590,16075,70713,12,053,2015
"Hillsborough County, Florida",183000,865,187657.0,1349050,637791,208790.0,684301,51725,216517,503154,12,057,2015
"Okaloosa County, Florida",204200,849,27103.0,198664,86756,20989.0,93795,55659,30860,76721,12,091,2015
"Duval County, Florida",153300,809,121472.0,913010,433627,142199.0,466262,49554,148114,343467,12,031,2015
"Clay County, Florida",166900,833,23245.0,203967,87895,26152.0,98011,58676,20792,71733,12,019,2015
"Nassau County, Florida",213500,847,7482.0,78444,32788,8380.0,35636,52005,7609,29674,12,089,2015
"Pinellas County, Florida",170500,836,141158.0,949827,445914,126571.0,473454,47618,142005,400209,12,103,2015
"St. Lucie County, Florida",149300,838,26364.0,298563,120654,48880.0,131806,45905,30964,108811,12,111,2015
"Indian River County, Florida",174000,765,14595.0,147919,52438,18229.0,58296,49379,12739,55494,12,061,2015
"Palm Beach County, Florida",246200,1099,235235.0,1422789,653531,188955.0,701965,56664,178654,545780,12,099,2015
"St. Johns County, Florida",273000,1019,45861.0,226640,101656,24813.0,108115,70379,19212,83247,12,109,2015
"Miami-Dade County, Florida",251900,1031,331466.0,2693117,1261863,530374.0,1350512,43786,423866,857712,12,086,2015
"Flagler County, Florida",181100,923,13728.0,105392,38674,12323.0,42313,48864,10579,39281,12,035,2015
"Sumter County, Florida",243500,653,21538.0,118891,24153,8866.0,25476,51335,4894,51170,12,119,2015
"Collier County, Florida",315000,1028,57501.0,357305,151828,49903.0,159445,62126,37492,134906,12,021,2015
"Pasco County, Florida",137700,774,51700.0,497909,203112,71925.0,217106,46133,57800,192628,12,101,2015
"Highlands County, Florida",92600,590,7703.0,99491,32038,24109.0,35066,34242,10302,41116,12,055,2015
"Columbia County, Florida",110200,599,4717.0,68348,26750,10939.0,29604,47808,7674,24238,12,023,2015
"Putnam County, Florida",82300,520,3267.0,72023,24730,20092.0,28399,31483,8572,28165,12,107,2015
"Manatee County, Florida",194000,877,44362.0,363369,148415,54125.0,159411,50835,41876,134690,12,081,2015
"Volusia County, Florida",141900,805,59187.0,517887,209562,81542.0,223214,42175,63126,209657,12,127,2015
"Leon County, Florida",179100,761,41255.0,286272,142062,61184.0,156075,46002,52462,109209,12,073,2015
"Lee County, Florida",184200,847,83120.0,701982,277323,113486.0,298388,50651,80888,263694,12,071,2015
"Marion County, Florida",120500,618,33387.0,343254,111085,62865.0,125709,40050,30015,125227,12,083,2015
"Osceola County, Florida",160700,913,30283.0,323993,143825,63630.0,154512,45244,40815,98301,12,097,2015
"Orange County, Florida",190700,893,185472.0,1288126,655717,196329.0,698035,50720,211228,457736,12,095,2015
"Alachua County, Florida",170900,720,36023.0,259964,121517,52823.0,128480,47895,44463,96427,12,001,2015
"Charlotte County, Florida",167300,789,18561.0,173115,61895,19188.0,67461,45492,17540,72671,12,015,2015
"Martin County, Florida",233100,886,26314.0,156283,65588,15910.0,68869,51622,16091,65101,12,085,2015
"Sarasota County, Florida",217500,960,66917.0,405549,158795,35372.0,169327,56286,50143,177807,12,115,2015
"Citrus County, Florida",115900,595,11212.0,141058,44459,24394.0,49248,40294,11249,60541,12,017,2015
"Santa Rosa County, Florida",169200,809,22442.0,167040,72424,20921.0,77362,59682,17994,60861,12,113,2015
"Broward County, Florida",222900,1132,275221.0,1896425,942614,260954.0,1022798,53926,259614,673870,12,011,2015
